TimeSeconds,MissionState,WaypointIndex,PositionXMetres,PositionYMetres,PositionZMetres,GroundVelocityXMetresPerSecond,GroundVelocityYMetresPerSecond,GroundVelocityZMetresPerSecond,GroundSpeedMetresPerSecond,AirVelocityXMetresPerSecond,AirVelocityYMetresPerSecond,AirVelocityZMetresPerSecond,AirSpeedMetresPerSecond,YawDegrees,PitchDegrees,RollDegrees,TargetDistanceMetres,DistanceTravelledMetres,WindXMetresPerSecond,WindYMetresPerSecond,WindZMetresPerSecond,WindSpeedMetresPerSecond,BirdActive,BirdPositionXMetres,BirdPositionYMetres,BirdPositionZMetres,BirdDistanceMetres,BirdClearanceMetres,BirdLidarHits,APFAvoidanceActive,APFEmergencyActive,APFObstacleCount,RepulsiveSpeedMetresPerSecond,TangentialSpeedMetresPerSecond,MapCoveragePercent,MapFreeCells,MapOccupiedCells,MapUpdateCount,FPVTargetVisible,FPVBirdVisible,FPVForwardObstacleDistanceMetres
0,TAKEOFF,1,1.00220048349295,0.0266750282084928,0.00716953316204317,0.0440096698590445,0.533500564169857,0.143390663240863,0.554184613026483,-0.00265799879625127,-0.0322211882503234,0.0839924405535186,0.09,3.50000000000001,0.365501071142523,-4.43073143433611,3.49293301815666,0.0277092306513241,0.0466676686552958,0.56572175242018,0.0593982226873447,0.570742605136059,0,12.5,-5,4,13.1685060161703,NaN,0,0,0,0,0,0,14.4618055555556,823,10,1,0,0,4.3183463854968
0.1,TAKEOFF,1,1.00688563348617,0.0770127330833085,0.0338149360610278,0.0486252421151788,0.4921244591351,0.306048549908986,0.581563936597832,-0.00902787225524183,-0.10066424866601,0.250344383103383,0.269976116699909,10.5,0.471420331392964,-4.78985061995909,3.46704734182836,0.0849982811250512,0.0576531143704206,0.592788707801109,0.0557041668056022,0.598184994707009,0,12.5,-5,4,13.1756730414453,NaN,0,0,0,0,0,0,14.4618055555556,823,10,1,0,0,4.2721545401676
0.2,TAKEOFF,1,1.01228460603951,0.121676994224899,0.0767352446490473,0.0545131685069892,0.427769717037521,0.469786814240229,0.637697629907008,-0.0177206228197009,-0.173273739111368,0.414818290620292,0.449902237571556,17.5,0.631689814081579,-5.03069112531734,3.42544855277337,0.147321146068106,0.0722337913266901,0.601043456148888,0.0549685236199372,0.607858943652048,0,12.5,-5,4,13.175400811603,NaN,0,0,0,0,0,0,21.5972222222222,1224,20,2,0,0,4.27177965952801
0.3,TAKEOFF,1,1.01743390921645,0.157932963978585,0.135977410364694,0.0508121055007936,0.339291101464601,0.633810823011033,0.720705543869623,-0.0279796231759483,-0.247052681364338,0.578681634303552,0.629833565763693,24.5,0.737930352455471,-5.07207085923632,3.36777296531079,0.217091508874234,0.0787917286767419,0.586343782828939,0.0551291887074808,0.59417707429483,0,12.5,-5,4,13.1675459772625,NaN,0,0,0,0,0,0,21.5972222222222,1224,20,2,0,0,4.22166870177174
0.4,TAKEOFF,1,1.02262300835958,0.184792840913503,0.211486246108284,0.0508353384796777,0.247016177780473,0.795450094738677,0.834471136075651,-0.0411643996636386,-0.319085947555171,0.740615859119701,0.807478916447025,31.5,0.941540838742992,-4.89012390352306,3.29377942553765,0.297475210236155,0.0919997381433163,0.566102125335644,0.0548342356189761,0.576144392946672,0,12.5,-5,4,13.151619515286,NaN,0,0,0,0,0,0,21.8402777777778,1232,26,3,0,0,4.20026361850474
0.5,TAKEOFF,1,1.0276915654481,0.202843413574947,0.301002213488109,0.0484987490886468,0.158374217085963,0.925621214464732,0.940323962242758,-0.0549612690050526,-0.374444221804414,0.871760496696063,0.950366024189168,31.5,0.914930934666985,-3.44509767690087,3.20554193722929,0.388976242865831,0.103460018093699,0.532818438890377,0.0538607177686687,0.545436010072752,0,12.5,-5,4,13.1288242058568,NaN,0,0,0,0,0,0,21.8402777777778,1232,26,3,0,0,4.16862519296797
0.6,TAKEOFF,1,1.03242153361745,0.21287072735348,0.400870258610113,0.0458400298774141,0.0851279430817113,1.02123833703516,1.02580496004982,-0.0681345013053418,-0.410799233745088,0.973005736046908,1.05836594951551,31.5,0.88489863085918,-2.25551416360008,3.10660107776545,0.48947304853017,0.113974531182756,0.495927176826799,0.0482326009882486,0.511136324547395,0,12.5,-5,4,13.1008821076329,NaN,0,0,0,0,0,0,21.875,1235,25,4,0,0,4.17239250011391
0.7,TAKEOFF,1,1.03675022658917,0.215655825640149,0.508892412376797,0.0435293827104884,0.0108377115609345,1.09880056775052,1.09971585004487,-0.08055973296815,-0.429989125073479,1.05076097497513,1.13819117233795,31.5,0.862828011829103,-1.04180336717192,2.99909696659244,0.597631917917863,0.124089115678638,0.440826836634413,0.0480395927753942,0.460471726603313,0,12.5,-5,4,13.0689323683114,NaN,0,0,0,0,0,0,21.9618055555556,1238,27,5,0,0,4.18091166606024
0.8,TAKEOFF,1,1.04068191912807,0.21161324153729,0.623118719551244,0.0397239181015762,-0.055139151328117,1.15463688197725,1.15663505259899,-0.0922823854660514,-0.432894714890688,1.11063807414322,1.19558805806354,31.5,0.817896573746977,0.0417323231137791,2.88494039528278,0.712006239917642,0.132006303567628,0.377755563562571,0.0439988078340328,0.402567789415497,0,12.5,-5,4,13.0338102886382,NaN,0,0,0,0,0,0,21.9618055555556,1238,27,5,0,0,4.15078797634661
0.9,TAKEOFF,1,1.04413031937152,0.202336736990991,0.741896318225137,0.0330994441347894,-0.105595528044895,1.19811468283149,1.20321435412046,-0.103125908600406,-0.423264910801885,1.15732471098396,1.23660366504184,31.5,0.727690731180711,0.874853711855013,2.76586759618823,0.831201580121755,0.136225352735195,0.31766938275699,0.0407899718475254,0.348044544954173,0,12.5,-5,4,12.9967879595608,NaN,0,0,0,0,0,0,21.9791666666667,1239,27,6,0,0,4.15674473879369
